id,price,area,age,rooms,distanceToMetro,stationName,distanceSource,longitude,latitude,walkingDistance
YC1229645,2498,29.19,46.4,6,489.2441559504025,文德站出口2,永慶房屋,25.0770570847,121.579846773,615.4068194349503
YC1178931,2350,35.72,41.8,3,280.3454383049654,捷運西湖站,永慶房屋,25.0845851,121.5680007,500.163100233426
YC1199544,1768,30.23,37.9,3,924.4991069748987,東湖站,overPass,25.0699351133057,121.620396619643,1033.5270846382275
YC1204520,2180,30.73,43.4,7,257.75438875804497,西湖站出口1,永慶房屋,25.0844362,121.5677372,500.163100233426
YC1214747,1680,44.29,43.6,4,1284.3619511541635,東湖站,overPass,25.0631633576,121.599755874,1416.7856299093128
YC1200949,2350,38.62,44.6,3,185.84652666358087,西湖站出口1,永慶房屋,25.0839123,121.5672697,488.33683149985666
YC1189553,1820,27.5,43.3,4,171.13123657477485,東湖站出口3,永慶房屋,25.066147,121.6130974,224.9093882162779
YC1202208,2680,59.18,43.5,0,1122.1933226689712,文德站,overPass,25.0684621,121.5857415,1874.7890237955385
YC1196119,1830,31.15,44.5,3,488.28458731000734,西湖站出口1,永慶房屋,25.0850967234017,121.562873862566,817.9407409297868
YC1227457,2480,38.87,44,5,322.0603043499096,劍南路站出口3,永慶房屋,25.0851820703,121.559201656,415.18787790681495
YC1218764,2280,36.27,41.3,3,456.9314142163549,劍南路站出口3,永慶房屋,25.0848311283,121.560618947,522.721717577623
YC1222409,1850,37.59,37.8,4,720.8541504184044,捷運東湖站,永慶房屋,25.0711986057,121.61728199,878.9846842101
YC1222052,4980,42.81,43.9,3,270.7896834710502,西湖站出口1,永慶房屋,25.0845835055,121.567690148,500.163100233426
YC999862,2580,27.36,40.5,3,397.783773417205,捷運東湖站,永慶房屋,25.0705184,121.6133536,466.80158866775554
YC1215973,1880,29.81,44.4,6,855.9041521648143,內湖站,overPass,25.0878080871,121.587148127,925.8629458285541
YC1211203,4888,49.55,38.5,3,1117.346594219945,東湖站,overPass,25.0739154761302,121.620117419254,1326.3491509915916
YC1218332,1480,22.72,43.9,2,1243.867336963893,文德站,overPass,25.0897015781,121.583747925,1377.2596345808256
YC1237920,4500,28.03,40,4,902.7891381122813,東湖站,overPass,25.0717966555,121.619200519,1118.03741367318
YC1095936,3280,28.71,39,3,1157.7589809166252,內湖站,overPass,25.0892794,121.5846285,1261.3131409517928
YC1224317,2188,31.13,42.8,3,207.3211655705725,東湖站出口3,永慶房屋,25.0677731581865,121.613622554312,228.71212659711472
YC1220973,2080,30.86,44.4,5,548.0385351743788,捷運內湖站,永慶房屋,25.0788752108,121.592605234,719.4899218409199
YC1212783,1858,37.5,37.2,3,1077.9775586920991,松山站,overPass,25.0578931372004,121.583795395395,1394.0651867678869
YC1138074,3500,27.52,42.4,2,362.09817624837996,文德站出口2,永慶房屋,25.0752409,121.5853063,886.2241433701248
YC1018320,2250,34.06,42.4,3,554.3786367575731,劍南路站出口3,永慶房屋,25.0848933552448,121.561584206134,654.6211216854476
YC1214156,2180,34.11,41.3,4,518.8354089415369,文德站出口1,永慶房屋,25.0784414215,121.590839987,764.1096974529172
YC1203832,2380,31.47,39.4,5,432.1620642814684,內湖站出口2,永慶房屋,25.0855266682,121.598361217,480.09284417819146
YC1179454,2680,37.13,35.9,3,625.3679426287094,大湖公園站出口1,永慶房屋,25.0890132,121.5998055,825.5907940647822
YC1227835,1668,24.34,46.1,3,1007.972454564157,內湖站,overPass,25.0883262241,121.585718612,1276.7269213893412
YC1218768,1980,29.91,41.9,3,693.1691379472082,劍南路站出口3,永慶房屋,25.0877951612,121.561929773,929.7562988579233
YC1219532,2000,32.66,41.8,3,1223.8576224728226,文德站,overPass,25.067529093,121.585416085,1879.287724322344
YC1220230,1880,27.36,40.5,6,403.32994674911544,捷運東湖站,永慶房屋,25.0705583554,121.613388055,466.80158866775554
YC1243070,2188,34.66,45.1,3,96.34484300764234,內湖站出口2,永慶房屋,25.0828284871015,121.59495878785,290.8979071938312
YC1202177,1888,27.79,42.1,5,399.843215987444,捷運西湖站,永慶房屋,25.0851642235,121.569499934,644.3790602781398
YC1206191,2180,28.33,40.2,5,1083.0637567285971,文德站,overPass,25.0883035031,121.584796441,1199.316416543918
YC1215396,5888,28.51,41.8,6,92.3675209784799,內湖站出口1,永慶房屋,25.0839227084,121.593370005,151.63794273816958
YC1190595,3360,52.18,45,6,1143.5420164608752,文德站,overPass,25.0888354,121.5843388,1270.6200048393089
YC1219487,2638,42.42,43.4,5,243.2857852172138,港墘站出口2,永慶房屋,25.0821614,121.5740127,286.11716549815463
YC1166129,3460,44.62,36.4,3,645.9032198409802,西湖站,overPass,25.0870778944975,121.563847534359,995.4321993700945
YC1211142,6880,58.02,38,4,374.4931285396159,捷運東湖站,永慶房屋,25.0703174419,121.613278483,445.17928461810374
YC1222412,2780,26.35,40.7,3,663.3635178337578,捷運東湖站,永慶房屋,25.071094859,121.616649436,814.3308288468462
YC1212776,1688,19.35,32.4,2,546.9228277753865,大湖公園站出口1,永慶房屋,25.0878798805,121.599194937,720.9914617691632
YC1225498,2288,22.44,46,5,359.00289457760266,港墘站出口1,永慶房屋,25.0808744136,121.579034274,479.0919930607207
YC1222364,2988,35.58,45,3,147.63440572320314,港墘站出口2,永慶房屋,25.0813909626,121.574778249,105.89181410409809
YC1196999,2330,31.78,43.5,4,490.014612833793,港墘站出口1,永慶房屋,25.0762888,121.577901,596.0576984895987
YC1211370,2580,37.52,39.7,5,116.16066681789273,捷運西湖站,永慶房屋,25.0826279602,121.568383936,329.0122653686417
YC1230252,2350,33.97,39.6,5,260.3992723071158,葫洲站出口1,永慶房屋,25.0718564074,121.610550636,447.1055244017456
YC1224309,2288,30.85,43.3,4,302.7483968091107,港墘站出口2,永慶房屋,25.0822913462,121.572973543,347.9763650803821
YC1210885,1980,25.83,47.9,3,638.4340047834094,西湖站出口1,永慶房屋,25.0880268157,121.567512214,1143.2238818072988
YC1188801,1858,32.33,45.2,3,615.0725015411526,內湖站出口1,永慶房屋,25.0873803,121.5896626,758.4609002451741
YC1211886,2570,32.4,41.9,3,336.60326629122846,港墘站出口1,永慶房屋,25.082397,121.577802,492.2514038804485
YC1222360,1780,29.11,39.8,3,350.7779714416119,港墘站出口2,永慶房屋,25.0832195719,121.574695456,441.4710067310395
YC1198454,2280,31.18,47.4,6,414.7078409628826,港墘站出口1,永慶房屋,25.0814710867686,121.579411621135,585.3052762379888
YC1216480,1398,29.21,44,2,1134.922162455755,葫洲站,overPass,25.0777210089,121.617135447,1484.4634023947822
YC1211391,1988,33.62,47.6,3,935.5798248502552,文德站,overPass,25.0708932634,121.588815076,1365.9891363771812
YC1170836,2600,39.97,44,3,473.83482531714566,捷運內湖站,永慶房屋,25.0805343569217,121.590967488955,482.92696968666996
YC1225611,1890,30.92,44.4,5,784.1236187015392,內湖站出口1,永慶房屋,25.0873705042,121.587587604,838.2304722032841
YC1220969,1650,19.92,42.2,2,337.6380141943602,文德站出口2,永慶房屋,25.0755548487,121.585617116,830.1406913883799
YC1196506,1868,28.49,41.6,3,325.45657772317446,文德站出口2,永慶房屋,25.07553812,121.585104745,866.3581111676239
YC002600,2025,15.01,0,2,1132.2825009351968,中正紀念堂站出口2,overPass,25.0272165470856,121.50876051734,1311.7
YC1205394,2180,39.65,36.8,4,1112.8703958748752,東湖站,overPass,25.0741615785,121.619820136,1268.0885237755315
YC1222407,1698,29.72,43.9,2,244.95586486499042,東湖站出口3,永慶房屋,25.067554,121.61409222,200.9723731584214
YC1189541,2243,28.54,41.7,3,305.44008645678866,文德站出口2,永慶房屋,25.0757312,121.5851507,850.9410162196982
YC1221603,3168,50.32,36.5,3,491.38789493608675,大湖公園站,overPass,25.0881813244,121.602005763,654.4960188628049
YC1131572,2160,31.71,42.5,5,285.79730844749,大湖公園站出口2,永慶房屋,25.0835123,121.5993778,502.23053495486596
YC1170842,3460,55.69,36.4,5,600.0255711753631,西湖站出口1,永慶房屋,25.0870991498324,121.563840828836,995.4321993700945
YC1229820,1880,27.73,45.1,3,236.81252735890726,港墘站出口1,永慶房屋,25.0802794695,121.577907161,318.95979677183686
YC1194104,2388,29.38,45,3,266.3197387933121,港墘站出口1,永慶房屋,25.0792063,121.5779895,223.0765515698477
